id,id_original
1387369149165340000,1387369149165342721
1387369148527820000,1387369148527828994
1387369145721710000,1387369145721712641
1387369133180820000,1387369133180821505
1387369131981240000,1387369131981246465
1387369131125740000,1387369131125747714
1387369130278360000,1387369130278363137
1387369129569440000,1387369129569443851
1387369128411930000,1387369128411938819
1387369123479350000,1387369123479359493
1387369121503860000,1387369121503866884
1387369121277360000,1387369121277366275
1387369118119170000,1387369118119170049
1387369110296620000,1387369110296621059
1387369107058740000,1387369107058745345
1387369105783760000,1387369105783762945
1387369104974100000,1387369104974106626
1387369085936310000,1387369085936316420
1387369084073900000,1387369084073906178
1387369082769480000,1387369082769481730
1387369082413010000,1387369082413010944
1387369058010540000,1387369058010546179
1387369056852970000,1387369056852971520
1387369051509290000,1387369051509297152
1387369051077310000,1387369051077316620
1387369041111690000,1387369041111695362
1387369041082390000,1387369041082396674
1387369027274610000,1387369027274612736
1387369025974430000,1387369025974439938
1387369025928260000,1387369025928269825
1387369022375820000,1387369022375829505
1387369021599710000,1387369021599719425
1387369021410970000,1387369021410971660
1387369021088010000,1387369021088010245
1387369020723180000,1387369020723183620
1387369018533630000,1387369018533638146
1387369014666610000,1387369014666616838
1387369000208710000,1387369000208719873
1387368999764190000,1387368999764193281
1387368995775520000,1387368995775524868
1387368990956310000,1387368990956310532
1387368989421030000,1387368989421039622
1387368989177910000,1387368989177917442
1387368987193790000,1387368987193790465
1387368986866760000,1387368986866765825
1387368981833470000,1387368981833478147
1387368974074050000,1387368974074056704
1387368973507820000,1387368973507829761
1387368955438890000,1387368955438899200
1387368954469830000,1387368954469838853
1387368953844990000,1387368953844994048
1387368952389680000,1387368952389685252
1387368951772970000,1387368951772971014
1387368949680110000,1387368949680115713
1387368942591690000,1387368942591692803
1387368942008780000,1387368942008782852
1387368940867880000,1387368940867887108
1387368937126510000,1387368937126518787
1387368923415250000,1387368923415252993
1387368919632130000,1387368919632130048
1387368918361150000,1387368918361153545
1387368917493020000,1387368917493026816
1387368914645040000,1387368914645041152
1387368911981610000,1387368911981613061
1387368910815600000,1387368910815600643
1387368909590960000,1387368909590962176
1387368907632210000,1387368907632218114
1387368906306630000,1387368906306637825
1387368905509850000,1387368905509851137
1387368903341440000,1387368903341445125
1387368900942170000,1387368900942176259
1387368891718930000,1387368891718934530
1387368888254400000,1387368888254406656
1387368861343770000,1387368861343772680
1387368856419660000,1387368856419667968
1387368855547240000,1387368855547248644
1387368854242920000,1387368854242922500
1387368852317770000,1387368852317773824
1387368833216760000,1387368833216761856
1387368832906500000,1387368832906506244
1387368830809380000,1387368830809382915
1387368829924240000,1387368829924245508
1387368825926990000,1387368825926995971
1387368822672300000,1387368822672302084
1387368820348680000,1387368820348686338
1387368808617210000,1387368808617218054
1387368803240080000,1387368803240083460
1387368802497660000,1387368802497662980
1387368800618610000,1387368800618618884
1387368798395660000,1387368798395662337
1387368793173860000,1387368793173860356
1387368792469160000,1387368792469168129
1387368792125280000,1387368792125288450
1387368791605190000,1387368791605194752
1387368790866990000,1387368790866993153
1387368790225190000,1387368790225195009
1387368789029830000,1387368789029838849
1387368787276590000,1387368787276599298
1387368786685090000,1387368786685095941
1387368779730930000,1387368779730939911
1387368778766420000,1387368778766426114
1387368778665640000,1387368778665644032
1387368761641020000,1387368761641029636
1387368754787400000,1387368754787409925
1387368750878530000,1387368750878535680
1387368749221780000,1387368749221785605
1387368742619800000,1387368742619803652
1387368741139210000,1387368741139218432
1387368737641300000,1387368737641308161
1387368727180620000,1387368727180623874
1387368716451550000,1387368716451553286
1387368711154110000,1387368711154114560
1387368711045060000,1387368711045062658
1387368709581420000,1387368709581426693
1387368708595750000,1387368708595757058
1387368705907210000,1387368705907216392
1387368704564940000,1387368704564944898
1387368691139060000,1387368691139063815
1387368686848250000,1387368686848253954
1387368686281960000,1387368686281965569
1387368685992560000,1387368685992562688
1387368681949330000,1387368681949339653
1387368673497820000,1387368673497821191
1387368670830030000,1387368670830030848
1387368669383110000,1387368669383118854
1387368666656810000,1387368666656817165
1387368649011470000,1387368649011470339
1387368645244950000,1387368645244956672
1387368641658850000,1387368641658855426
1387368631324050000,1387368631324057607
1387368630619360000,1387368630619361281
1387368620976700000,1387368620976705539
1387368604438450000,1387368604438450181
1387368603066850000,1387368603066855424
1387368600286130000,1387368600286138369
1387368598390380000,1387368598390386690
1387368596372860000,1387368596372865033
1387368588126910000,1387368588126916613
1387368585090240000,1387368585090240513
1387368584830140000,1387368584830144513
1387368577662060000,1387368577662062592
